"","h_co","ss","level","dist","alpha_mean","alpha_sd","alpha_range","beta_mean","beta_sd","beta_range","log_mean","log_sd","aic_mean","pneu_mean","pneu_sd","plet_mean","plet_sd"
"12","0.5","100","0.1","gamma",0.17949100142718,0.00611302382731551,0.025712739226816,1808.76584090829,1253.54401110924,6108.22659895983,-391.528486391666,7.55591812173476,787.056972783332,NA,NA,NA,NA
"13","0","100","0.1","neugammalet",0.299302028859715,0.170323609632847,0.794989558283798,490.112973482418,206.861051480579,1036.24903280039,-403.598849858931,39.949531952278,815.197699717863,0.0899460061460934,0.0649937102455068,0.0428403072733756,0.0902740286126651
"14","0","100","0.1","gammalet",0.2018793929363,0.00655874907462915,0.02701484237202,671.342876093163,144.72356309873,572.173113749715,-397.564957880261,10.3778255450663,801.129915760522,NA,NA,0.033905923170248,0.0347039311973848
"15","0","100","0.1","neugamma",0.270884575977682,0.0326036388468921,0.126486279891313,536.344102240771,108.115249330863,386.547266572683,-393.512416899042,7.72550572634604,793.024833798085,0.0981218541106662,0.0334019745798811,NA,NA
"16","0","100","0.1","gamma",0.199689462339188,0.0070201597670799,0.028780677414438,834.412092935664,140.803803865437,559.782324590577,-395.99145004537,9.93009512744586,795.98290009074,NA,NA,NA,NA
"17","0.5","10","0.1","neugammalet",0.26623638833903,0.0746264410441069,0.273878216198025,805.218179341709,426.03952747586,1815.36609611224,-52.1502631507891,12.3817686981888,112.300526301578,0.102303701204078,0.0518268912906798,0.0180898479418503,0.0217767102057332
"18","0.5","10","0.1","gammalet",0.194486142387617,0.0199595757107679,0.060784220731477,565.309247759058,476.04883590566,1582.74783102404,-48.911167500609,1.49123007615112,103.822335001218,NA,NA,0.19961013439462,0.143014594320563
"19","0.5","10","0.1","neugamma",0.250577869449903,0.0411510011435617,0.158177531763183,895.072737640537,490.133979836278,1775.27324555993,-49.381356392537,1.44521627958645,104.762712785074,0.0897336111968126,0.0390620437898658,NA,NA
"20","0.5","10","0.1","gamma",0.181919438476355,0.0134115817891674,0.045621361460767,1684.2495870269,817.767020275961,3363.24443134762,-49.0310867820446,1.42546950171474,102.062173564089,NA,NA,NA,NA
"21","0","10","0.1","neugammalet",0.30980847580628,0.171686348379594,0.886287071519501,2271.88960325843,8338.5796047756,37670.5813049941,-71.2069703793777,83.3246761896619,150.413940758755,0.123971974890827,0.0876048745097801,0.135527514877173,0.209151602160008
"22","0","10","0.1","gammalet",0.199450403584218,0.0230683551070904,0.081778472248531,565.02293782171,518.891954615501,1660.11820192642,-48.0176465629784,1.44171181067158,102.035293125957,NA,NA,0.185877079112651,0.128539142665496
"23","0","10","0.1","neugamma",0.28057370570813,0.069138171440547,0.278844982571629,713.793618004079,504.574409343956,2279.89317111056,-48.2171229946732,1.65047091283177,102.434245989346,0.104800574652944,0.046880740656044,NA,NA
"24","0","10","0.1","gamma",0.188384697344955,0.0147392079633088,0.053411845946315,1380.27666655328,663.024351963108,2356.45581040033,-48.0030845914483,1.42967472246693,100.006169182897,NA,NA,NA,NA
"25","0.5","1000","0.05","neugammalet",0.218641545033856,0.0204754532568151,0.086115014132552,604.409003497562,172.682456351395,650.426088738294,-2806.16059405567,28.1138427348168,5620.32118811133,0.0601840441139099,0.0303445186969178,0.0495297597458504,0.0337237604496107
"26","0.5","1000","0.05","gammalet",0.1883112501613,0.00433951658812105,0.016053340728533,614.993031632528,100.718142724399,352.3229528329,-2801.58218309704,27.6604439685993,5609.16436619408,NA,NA,0.0631460140780413,0.020550269952998
"27","0.5","1000","0.05","neugamma",0.199157839117093,0.0104263545982919,0.03744381464802,940.111489957198,103.235778831226,362.823054948634,-2821.86391776542,29.7465228258081,5649.72783553084,0.0379483984347882,0.0199617994535048,NA,NA
"28","0.5","1000","0.05","gamma",0.181601840733691,0.00440676350205386,0.014691233852183,1056.83216632243,123.684206185936,429.998937554096,-2820.94022303259,29.7040518972447,5645.88044606518,NA,NA,NA,NA
"29","0","1000","0.05","neugammalet",0.244739261456492,0.0260415349852688,0.095750039658032,479.857838416776,89.7622570420027,322.234127486671,-2797.71524170623,20.3571407387467,5603.43048341246,0.0737796395778849,0.0321970411514019,0.0124152450605667,0.011332922074291
"30","0","1000","0.05","gammalet",0.200961283716107,0.00523458925391348,0.017262789980971,588.78949140832,83.6378055861666,322.032573736622,-2799.14001371806,20.9782240600788,5604.28002743612,NA,NA,0.0127068681997916,0.0124155207315499
"31","0","1000","0.05","neugamma",0.244331583403049,0.0238991343683509,0.089227703461807,517.21007572677,70.7838534541722,277.87915783553,-2797.73543145272,20.8510914845681,5601.47086290545,0.0761249140259015,0.034131379773968,NA,NA
"32","0","1000","0.05","gamma",0.199569015337856,0.00428907020395612,0.015293433076442,644.814834212746,52.0962824958898,199.731835863746,-2799.75543045529,21.0131498677994,5603.51086091058,NA,NA,NA,NA
"33","0.5","100","0.05","neugammalet",0.259791283618729,0.175985176652599,0.80965067771057,603.217146372134,289.880135000603,962.721334010412,-402.607595676773,30.2283475817893,813.215191353545,0.0718718123327391,0.0748259165687994,0.0488449673712629,0.068207404830857
"34","0.5","100","0.05","gammalet",0.189872840836099,0.0075095492692103,0.024332732957904,537.03804807181,196.073586072351,697.782025613671,-395.136957826663,6.54178724057719,796.273915653326,NA,NA,0.0911425045411531,0.0449482122015951
"35","0.5","100","0.05","neugamma",0.213128780364183,0.0145125263730043,0.062685835677597,816.278216294813,82.8456213142371,302.891447988,-395.733055584377,6.71649548819815,797.466111168755,0.0565828096818818,0.0282238406950623,NA,NA
