"","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","fit","rep"
"15",-2827.29824443023,0,0.22,0.203565165690182,204.875068845249,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.22",10
"16",-2806.39351894172,0,0.2,0.199177664276772,255.77381731037,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.2",10
"17",-2790.85455029911,0,0.18,0.194891726257747,319.712514230715,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.18",10
"18",-2779.42155615944,0,0.16,0.190680948409608,400.40425238936,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.16",10
"19",-2771.29952924197,0,0.14,0.18668683735698,501.083435502019,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.14",10
"20",-2766.33013107772,0,0.12,0.183304059114294,620.708355505373,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.12",10
"21",-2764.83950762373,0,0.1,0.181175082849682,748.263794566425,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.1",10
"22",-2767.27048844806,0,0.08,0.178808459163684,905.178391788862,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.08",10
"23",-2773.71297211714,0,0.06,0.176775516519897,1090.16454047366,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.06",10
"24",-2783.85344801042,0,0.04,0.175258403481515,1295.0687388745,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.04",10
"25",-2796.98688649002,0,0.02,0.171665315981674,1627.06470442561,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.02",10
"26",-2811.60247963782,0,0,0.167431860673886,2101.16553251979,9634.62331362876,1.03559097159771,0.203098964464181,"na","0.10","1000","0.5","0.0",10
"27",-5170.13527976891,0,0.5,0.355039494387212,5.58703560090614,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.5",9
"28",-4768.5854639672,0,0.48,0.330031507411751,7.65676319572975,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.48",9
"29",-4424.81340841649,0,0.46,0.310164068425948,10.3189322924104,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.46",9
"30",-4131.54015859754,0,0.44,0.29440809353453,13.6728747004829,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.44",9
"31",-3882.38826073215,0,0.42,0.280205980751097,18.0399152574191,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.42",9
"32",-3671.72451333691,0,0.4,0.268761951872804,23.4789687670754,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.4",9
"33",-3494.57010689318,0,0.38,0.258756507828978,30.2953076218186,9629.39902939623,1.02639563069313,0.19660723175599,"na","0.10","1000","0.5","0.38",9
