"","1","2","3","4","5","6","7","8","9","10","11","12","prop","h_co","dist"
"1",411140.543180394,7587.27445263489,3135.69654063732,1928.51941862319,1376.10615888071,1062.36322650637,861.19017946811,721.71781825118,619.595326934976,541.741337413737,480.516833127831,431.168957383379,"0.10","0.5","neugammalet"
"2",289539.341133402,7563.88960718123,3154.2380249869,1926.98868931429,1365.56077471081,1047.79089881127,844.811322358007,704.600744891321,602.286781828371,524.532181127877,463.564115230503,414.556277625392,"0.10","0.5","gammalet"
"3",419878.292373885,7602.00575256881,3128.08029292747,1917.50395293276,1364.81893360533,1051.53514027397,850.983109856273,712.133360410914,610.588722831096,533.257417968069,472.501871896826,423.574327219989,"0.10","0.5","neugamma"
"4",429458.77021215,7585.25846206927,3135.09259669755,1920.71836024899,1364.98021346821,1049.82755767537,848.130551355787,708.564293499369,606.564769636575,528.94423744378,468.00777834167,418.972036744479,"0.10","0.5","gamma"
"5",209233.829041852,7575.5313741331,3164.41968725621,1948.85290870779,1393.44700997042,1078.26164180105,876.225533782519,736.157341463961,633.583086345609,555.364788656767,493.834105902606,444.221452569861,"0.10","0.0","neugammalet"
"6",187025.291285397,7682.57664186417,3191.739557115,1941.50842135583,1372.94852400963,1052.34671912188,848.096258253367,707.28572046371,604.692070690937,526.821308211136,465.824043104021,416.834082915391,"0.10","0.0","gammalet"
"7",249935.239942761,7726.75614486265,3159.75902353265,1927.61539103497,1369.92944198789,1055.31512422994,854.499490966865,715.734653900308,614.386039578083,537.275468492862,476.732996334824,427.999464602645,"0.10","0.0","neugamma"
"8",261535.059409883,7701.24386049585,3176.17927528323,1936.32302111298,1372.35786123707,1053.85972192639,850.636806205942,710.341506665953,607.999241495933,530.236043343804,469.264891918845,420.253888480784,"0.10","0.0","gamma"
"9",368305.275447181,8012.07038275261,3319.97349010025,2031.81739048846,1444.57975328588,1112.2459869942,899.772682745745,752.817387321497,645.431197529158,563.705087065972,499.532095109209,447.876377777616,"0.05","0.5","neugammalet"
"10",334529.396703625,7990.5215093339,3337.10849583461,2038.64642913781,1445.41082931356,1109.80910239359,895.470744115734,747.409883628948,639.355382448608,557.225840566922,492.81639945072,441.032772740437,"0.05","0.5","gammalet"
"11",402047.767936213,8031.13734069486,3308.06811866695,2026.99310405768,1443.55750662073,1113.17632036603,901.761131832749,755.40236528669,648.357806897372,566.824702541172,502.75437805003,451.14469543585,"0.05","0.5","neugamma"
"12",417182.088968375,8013.09175423211,3319.12308313152,2032.12078063233,1444.11115819324,1110.9418602104,897.816459322952,750.383212786131,642.651944784595,560.677696852615,496.326934150004,444.54487248526,"0.05","0.5","gamma"
"13",630485.021637381,8046.73853472016,3315.30941396263,2036.98967805135,1452.21854946198,1120.49909993898,908.076458183372,760.987406556873,653.408551389883,571.475055439746,507.095972568018,455.241223098588,"0.05","0.0","neugammalet"
"14",511811.014597431,7475.787170863,3134.03008169321,1924.19472985559,1367.10887876632,1050.81613263201,848.458135897834,708.556875342012,606.418294271886,528.772313318996,467.874486236115,418.911915407958,"0.05","0.0","gammalet"
