"","ss","s","level","h","sd","mean","Type"
"60","1000","Strongly Del.","0% Lethal","0.5",0.00670080378856732,0.179261162576582,"Inferred"
"61","10","Neutral","1% Lethal","0",0.00909055151913253,0.231124817196034,"Expected"
"62","10","Neutral","1% Lethal","0",0.00870843278235123,0.234106509538939,"Inferred"
"63","10","Nearly Neutral","1% Lethal","0",0.00668385546560355,0.12393608889086,"Expected"
"64","10","Nearly Neutral","1% Lethal","0",0.00663710986256162,0.120803299971642,"Inferred"
"65","10","Slightly Del.","1% Lethal","0",0.0153648600113626,0.188919126522436,"Expected"
"66","10","Slightly Del.","1% Lethal","0",0.0148598429830599,0.182094866405811,"Inferred"
"67","10","Moderately Del.","1% Lethal","0",0.0195821591335139,0.261797703749501,"Expected"
"68","10","Moderately Del.","1% Lethal","0",0.0205626952548076,0.254461461684821,"Inferred"
"69","10","Strongly Del.","1% Lethal","0",0.033238082737261,0.194222263641169,"Expected"
"70","10","Strongly Del.","1% Lethal","0",0.034010418150159,0.208533862398787,"Inferred"
"71","100","Neutral","1% Lethal","0",0.00627668167945308,0.234339067295839,"Expected"
"72","100","Neutral","1% Lethal","0",0.00493539317395202,0.233188688806324,"Inferred"
"73","100","Nearly Neutral","1% Lethal","0",0.00263006031112599,0.125024767493653,"Expected"
"74","100","Nearly Neutral","1% Lethal","0",0.00200046637289541,0.125645635035784,"Inferred"
"75","100","Slightly Del.","1% Lethal","0",0.00671535496096795,0.189907400121219,"Expected"
"76","100","Slightly Del.","1% Lethal","0",0.00498559600880137,0.191492772367261,"Inferred"
"77","100","Moderately Del.","1% Lethal","0",0.00917899161154905,0.262714683650624,"Expected"
"78","100","Moderately Del.","1% Lethal","0",0.00691437452258107,0.266346564412402,"Inferred"
"79","100","Strongly Del.","1% Lethal","0",0.0126458510977959,0.188014081438666,"Expected"
"80","100","Strongly Del.","1% Lethal","0",0.00992360980454444,0.183326339378229,"Inferred"
"81","1000","Neutral","1% Lethal","0",0.0037767075222787,0.234681181324985,"Expected"
"82","1000","Neutral","1% Lethal","0",0.0050133904973676,0.233349952156387,"Inferred"
