,X,Likelihood,pneu,plet,alpha,beta,Nanc,nu,T,scale,level,ss,h_co,dist,rep
40,40,-2762.914968,na,na,0.168187196,2083.001281,9548.315129,1.047355505,0.362950969,na,0.1,1000,0.5,gamma,1
41,41,-2754.001558,0.183470192,0.01592349,0.411597825,228.9659817,9882.773143,1.127972045,0.000100366,na,0.1,1000,0,neugammalet,10
42,42,-2773.330078,0,0.001076995,0.218896905,530.3415197,9882.773143,1.127972045,0.000100366,na,0.1,1000,0,gammalet,10
43,43,-2753.23227,0.160965767,0,0.365469627,290.4779706,9882.773143,1.127972045,0.000100366,na,0.1,1000,0,neugamma,10
44,44,-2773.025328,na,na,0.218766213,533.3665398,9882.773143,1.127972045,0.000100366,na,0.1,1000,0,gamma,10
45,45,-2799.35686,0.056987808,0.016079314,0.243607709,507.0980744,9951.124297,1.145560736,0.000388354,na,0.1,1000,0,neugammalet,9
46,46,-2803.516817,0,0.002672183,0.208442987,663.7200469,9951.124297,1.145560736,0.000388354,na,0.1,1000,0,gammalet,9
47,47,-2794.609414,0.133602824,0,0.307619089,429.07729,9951.124297,1.145560736,0.000388354,na,0.1,1000,0,neugamma,9
48,48,-2803.462106,na,na,0.208084358,676.4599019,9951.124297,1.145560736,0.000388354,na,0.1,1000,0,gamma,9
49,49,-2799.360305,0.220776291,0.00102181,0.447110863,229.6742354,9240.511417,1.077436554,1.062483565,na,0.1,1000,0,neugammalet,8
50,50,-2833.214949,0,0.00108212,0.203431527,644.4959713,9240.511417,1.077436554,1.062483565,na,0.1,1000,0,gammalet,8
51,51,-2799.21871,0.217862714,0,0.439602564,235.5233631,9240.511417,1.077436554,1.062483565,na,0.1,1000,0,neugamma,8
52,52,-2832.341318,na,na,0.205123534,626.8602521,9240.511417,1.077436554,1.062483565,na,0.1,1000,0,gamma,8
53,53,-2744.284126,0.170547783,0.02721265,0.381651746,258.8910197,9866.55716,1.029012733,0.005772555,na,0.1,1000,0,neugammalet,7
54,54,-2759.01221,0,0.001039721,0.214161963,608.8772448,9866.55716,1.029012733,0.005772555,na,0.1,1000,0,gammalet,7
55,55,-2746.176312,0.132329546,0,0.319252823,378.4107006,9866.55716,1.029012733,0.005772555,na,0.1,1000,0,neugamma,7
56,56,-2758.934687,na,na,0.214438666,609.4221033,9866.55716,1.029012733,0.005772555,na,0.1,1000,0,gamma,7
57,57,-2783.050223,0.042084736,0.00917438,0.231581681,537.6350688,9685.331848,1.040300032,0.026791668,na,0.1,1000,0,neugammalet,6
58,58,-2784.550236,0,0.001000443,0.207419265,646.6669601,9685.331848,1.040300032,0.026791668,na,0.1,1000,0,gammalet,6
59,59,-2781.351015,0.097972429,0,0.271912712,470.9375267,9685.331848,1.040300032,0.026791668,na,0.1,1000,0,neugamma,6
60,60,-2784.515941,na,na,0.20732684,650.8082697,9685.331848,1.040300032,0.026791668,na,0.1,1000,0,gamma,6
61,61,-2791.651426,0.13524555,0.004849898,0.303607639,429.9315091,9694.677509,1.037574789,0.073640279,na,0.1,1000,0,neugammalet,5
62,62,-2802.670715,0,0.001024145,0.202898276,730.2571375,9694.677509,1.037574789,0.073640279,na,0.1,1000,0,gammalet,5
63,63,-2790.45128,0.141404899,0,0.309851508,430.7592689,9694.677509,1.037574789,0.073640279,na,0.1,1000,0,neugamma,5
64,64,-2802.393246,na,na,0.202866694,733.0551643,9694.677509,1.037574789,0.073640279,na,0.1,1000,0,gamma,5
65,65,-2830.81593,0.001030317,0.032916446,0.213380967,520.165475,9481.242686,1.06052801,0.620036822,na,0.1,1000,0,neugammalet,4
66,66,-2813.804757,0,0.001004832,0.209304457,642.1852487,9481.242686,1.06052801,0.620036822,na,0.1,1000,0,gammalet,4
67,67,-2781.48888,0.203492425,0,0.425033829,261.0125195,9481.242686,1.06052801,0.620036822,na,0.1,1000,0,neugamma,4
68,68,-2813.431191,na,na,0.209439253,641.7089249,9481.242686,1.06052801,0.620036822,na,0.1,1000,0,gamma,4
69,69,-2740.332145,0.004348873,0.001027032,0.211098871,672.271148,9817.954908,1.030176296,0.032998089,na,0.1,1000,0,neugammalet,3
70,70,-2740.568722,0,0.001064135,0.209098179,680.4560862,9817.954908,1.030176296,0.032998089,na,0.1,1000,0,gammalet,3
71,71,-2736.425279,0.101053944,0,0.277421975,485.539256,9817.954908,1.030176296,0.032998089,na,0.1,1000,0,neugamma,3
72,72,-2740.309348,na,na,0.208988621,684.0246737,9817.954908,1.030176296,0.032998089,na,0.1,1000,0,gamma,3
73,73,-2797.620629,0.168103732,0.010191814,0.389087071,245.2228835,9830.65268,1.497361511,0.000100015,na,0.1,1000,0,neugammalet,2
74,74,-2817.622576,0,0.001006082,0.223355266,494.283228,9830.65268,1.497361511,0.000100015,na,0.1,1000,0,gammalet,2
75,75,-2797.837848,0.171880922,0,0.389589594,261.9097783,9830.65268,1.497361511,0.000100015,na,0.1,1000,0,neugamma,2
76,76,-2817.462348,na,na,0.223262795,496.892736,9830.65268,1.497361511,0.000100015,na,0.1,1000,0,gamma,2
77,77,-2743.033447,0.175686693,0.024516806,0.386392145,270.3749883,9904.877383,2.207831594,0.000134738,na,0.1,1000,0,neugammalet,1
78,78,-2762.793334,0,0.006903448,0.213473579,612.3305179,9904.877383,2.207831594,0.000134738,na,0.1,1000,0,gammalet,1
79,79,-2746.279037,0.145872579,0,0.333223271,376.9639516,9904.877383,2.207831594,0.000134738,na,0.1,1000,0,neugamma,1
80,80,-2763.024421,na,na,0.212818013,643.019048,9904.877383,2.207831594,0.000134738,na,0.1,1000,0,gamma,1
81,81,-392.6837568,0.035030167,0.094437707,0.199316335,662.8182296,9620.045621,1.028174924,0.334066262,na,0.1,100,0.5,neugammalet,10
82,82,-396.0378798,0,0.183838887,0.18935331,357.6934801,9620.045621,1.028174924,0.334066262,na,0.1,100,0.5,gammalet,10
83,83,-392.7601829,0.051929647,0,0.201967422,1255.761041,9620.045621,1.028174924,0.334066262,na,0.1,100,0.5,neugamma,10
