"","X","Likelihood","pneu","plet","alpha","beta","Nanc","nu","T","scale","level","ss","h_co","dist","rep"
"16",16,-2847.3264376111,"na","na",0.179180471370641,1538.04501698104,9752.56367772599,1.01961562642842,0.292098283361997,"na",0.1,1000,0.5,"gamma",7
"17",17,-2730.08888406678,"0.0573584470607353","0.123906581580412",0.209926482385993,583.45185819115,9745.44272773771,1.03654512192111,0.216647379894446,"na",0.1,1000,0.5,"neugammalet",6
"18",18,-2729.72439063788,"0","0.121518088601516",0.181125491557246,687.157355840271,9745.44272773771,1.03654512192111,0.216647379894446,"na",0.1,1000,0.5,"gammalet",6
"19",19,-2798.50838166718,"0.0322123427160152","0",0.176758021956872,2189.56297203111,9745.44272773771,1.03654512192111,0.216647379894446,"na",0.1,1000,0.5,"neugamma",6
"20",20,-2793.25536462339,"na","na",0.162449102043886,2627.14672253764,9745.44272773771,1.03654512192111,0.216647379894446,"na",0.1,1000,0.5,"gamma",6
"21",21,-2795.38999951357,"0.019551485156711","0.102535363962037",0.199040259401127,559.933210702977,9708.73136780798,1.02627780509386,0.158950124092768,"na",0.1,1000,0.5,"neugammalet",5
"22",22,-2794.92112792619,"0","0.10508281598761",0.19045537395661,572.132050228477,9708.73136780798,1.02627780509386,0.158950124092768,"na",0.1,1000,0.5,"gammalet",5
"23",23,-2848.09703043448,"0.0258476462113837","0",0.190874673184736,1320.1752117109,9708.73136780798,1.02627780509386,0.158950124092768,"na",0.1,1000,0.5,"neugamma",5
"24",24,-2846.4233288709,"na","na",0.178791435927965,1465.81343050202,9708.73136780798,1.02627780509386,0.158950124092768,"na",0.1,1000,0.5,"gamma",5
"25",25,-2735.27543055117,"0.0545132578962316","0.0886158635317221",0.208644264930091,732.390996790224,9661.55697106057,1.03592876365302,0.175208411312895,"na",0.1,1000,0.5,"neugammalet",4
"26",26,-2729.17395418732,"0","0.113828813793377",0.183939845823318,676.862650060921,9661.55697106057,1.03592876365302,0.175208411312895,"na",0.1,1000,0.5,"gammalet",4
"27",27,-2787.90039164826,"0.0151779288994654","0",0.175121841960271,1996.35341916106,9661.55697106057,1.03592876365302,0.175208411312895,"na",0.1,1000,0.5,"neugamma",4
"28",28,-2785.61782534368,"na","na",0.167140107840174,2253.99021406672,9661.55697106057,1.03592876365302,0.175208411312895,"na",0.1,1000,0.5,"gamma",4
"29",29,-2768.52390645124,"0.031311627620655","0.102373179696362",0.212202473814233,534.712851728733,9905.00609568928,1.01422092416487,0.006442915335562,"na",0.1,1000,0.5,"neugammalet",3
"30",30,-2768.79427204447,"0","0.0986697294758578",0.195342078986541,601.011339901334,9905.00609568928,1.01422092416487,0.006442915335562,"na",0.1,1000,0.5,"gammalet",3
"31",31,-2816.56980252519,"0.0473241303642737","0",0.207844032043629,1205.35971209688,9905.00609568928,1.01422092416487,0.006442915335562,"na",0.1,1000,0.5,"neugamma",3
"32",32,-2814.70939182392,"na","na",0.184777806641976,1404.69797125458,9905.00609568928,1.01422092416487,0.006442915335562,"na",0.1,1000,0.5,"gamma",3
"33",33,-2778.65734641168,"0.112179584658876","0.12520431498602",0.249455011105886,436.591891322973,9692.65540714497,1.04082122180386,0.117796673180067,"na",0.1,1000,0.5,"neugammalet",2
"34",34,-2775.57555829334,"0","0.11655061287898",0.181697441491458,651.962548608021,9692.65540714497,1.04082122180386,0.117796673180067,"na",0.1,1000,0.5,"gammalet",2
"35",35,-2840.89340464216,"0.0459138300987267","0",0.186779607027524,1786.4122985111,9692.65540714497,1.04082122180386,0.117796673180067,"na",0.1,1000,0.5,"neugamma",2
"36",36,-2835.89996638597,"na","na",0.164935471414659,2242.24675005064,9692.65540714497,1.04082122180386,0.117796673180067,"na",0.1,1000,0.5,"gamma",2
"37",37,-2738.10321710076,"0.0791572053340715","0.0599944355279397",0.217232584500593,868.644991272035,9694.3940250559,1.02808289222422,0.0801600799063159,"na",0.1,1000,0.5,"neugammalet",1
"38",38,-2730.59449194189,"0","0.0891293008863669",0.180085057456694,847.917529647558,9694.3940250559,1.02808289222422,0.0801600799063159,"na",0.1,1000,0.5,"gammalet",1
"39",39,-2766.43925889419,"0.00719904790704505","0",0.170821703010965,2061.80191251433,9694.3940250559,1.02808289222422,0.0801600799063159,"na",0.1,1000,0.5,"neugamma",1
"40",40,-2765.736757958,"na","na",0.168486591773838,2087.69617338128,9694.3940250559,1.02808289222422,0.0801600799063159,"na",0.1,1000,0.5,"gamma",1
"41",41,-2767.35072370277,"0.202769921668978","0.0047712093021341",0.436050762340748,245.133231828406,9651.78662600144,1.04062578646937,0.284080951873544,"na",0.1,1000,0,"neugammalet",10
"42",42,-2793.97847372279,"0","0.00106859075993335",0.212035588860225,617.700422381206,9651.78662600144,1.04062578646937,0.284080951873544,"na",0.1,1000,0,"gammalet",10
"43",43,-2766.24362482189,"0.197960143898517","0",0.420125775890488,262.229832742246,9651.78662600144,1.04062578646937,0.284080951873544,"na",0.1,1000,0,"neugamma",10
"44",44,-2793.44119412148,"na","na",0.212090242606833,617.979013674036,9651.78662600144,1.04062578646937,0.284080951873544,"na",0.1,1000,0,"gamma",10
"45",45,-2748.10770397986,"0.112197613079329","0.0247351662047797",0.302598837145259,335.670699407938,9894.90033761472,1.02717421522128,0.0103040061608742,"na",0.1,1000,0,"neugammalet",9
"46",46,-2748.87909600282,"0","0.00102997441444585",0.213744501235291,601.325109705269,9894.90033761472,1.02717421522128,0.0103040061608742,"na",0.1,1000,0,"gammalet",9
"47",47,-2746.54378810409,"0.0920072240798089","0",0.275179571722895,449.66604981542,9894.90033761472,1.02717421522128,0.0103040061608742,"na",0.1,1000,0,"neugamma",9
"48",48,-2748.80530223774,"na","na",0.213578238687332,606.021996287864,9894.90033761472,1.02717421522128,0.0103040061608742,"na",0.1,1000,0,"gamma",9
"49",49,-2788.3170415946,"0.0765470745034081","0.00743293205185395",0.260237184427412,481.613580450006,9829.3606332238,1.03629751971979,0.0152184693760042,"na",0.1,1000,0,"neugammalet",8
"50",50,-2792.68090614955,"0","0.00304277010745967",0.210636226681952,638.917973170802,9829.3606332238,1.03629751971979,0.0152184693760042,"na",0.1,1000,0,"gammalet",8
"51",51,-2787.9531670228,"0.103392282863376","0",0.281079011861578,461.686601258228,9829.3606332238,1.03629751971979,0.0152184693760042,"na",0.1,1000,0,"neugamma",8
"52",52,-2792.65791388127,"na","na",0.210360886127882,650.993633478617,9829.3606332238,1.03629751971979,0.0152184693760042,"na",0.1,1000,0,"gamma",8
"53",53,-2749.57112948275,"0.015125333924876","0.012254786274784",0.219739337324269,539.182276838653,9823.67490535785,1.05333311565754,0.00781809862807218,"na",0.1,1000,0,"neugammalet",7
"54",54,-2749.85006444785,"0","0.00460140478161355",0.211235508498402,590.778845544848,9823.67490535785,1.05333311565754,0.00781809862807218,"na",0.1,1000,0,"gammalet",7
"55",55,-2749.47746312501,"0.0420099705479864","0",0.234019048994257,543.464653787529,9823.67490535785,1.05333311565754,0.00781809862807218,"na",0.1,1000,0,"neugamma",7
"56",56,-2750.02184245239,"na","na",0.210659085099993,612.315461848555,9823.67490535785,1.05333311565754,0.00781809862807218,"na",0.1,1000,0,"gamma",7
"57",57,-2812.38745441378,"0.00161660229783289","0.00106436427824987",0.219732412961985,565.147190480295,9882.48584762641,1.06509698719852,0.00127978267561625,"na",0.1,1000,0,"neugammalet",6
"58",58,-2812.53970130417,"0","0.00101740274350473",0.219823216739441,560.644441197534,9882.48584762641,1.06509698719852,0.00127978267561625,"na",0.1,1000,0,"gammalet",6
"59",59,-2798.1292973201,"0.138479431815773","0",0.335530129867397,341.390422266814,9882.48584762641,1.06509698719852,0.00127978267561625,"na",0.1,1000,0,"neugamma",6
"60",60,-2812.29506053519,"na","na",0.219352556798915,565.548540089236,9882.48584762641,1.06509698719852,0.00127978267561625,"na",0.1,1000,0,"gamma",6
"61",61,-2774.12927517773,"0.147012485236377","0.0159186550746617",0.328088722432438,336.191372176516,9644.00246933962,1.0473378031798,0.330739840395737,"na",0.1,1000,0,"neugammalet",5
"62",62,-2787.08323745358,"0","0.00102765829371648",0.207367014592086,652.786729963019,9644.00246933962,1.0473378031798,0.330739840395737,"na",0.1,1000,0,"gammalet",5
"63",63,-2771.89995010188,"0.171573536311216","0",0.359011587942979,327.77243705378,9644.00246933962,1.0473378031798,0.330739840395737,"na",0.1,1000,0,"neugamma",5
"64",64,-2786.86485843407,"na","na",0.207723525506115,651.483383494788,9644.00246933962,1.0473378031798,0.330739840395737,"na",0.1,1000,0,"gamma",5
"65",65,-2783.90827010125,"0.19298003255499","0.00653116701819825",0.433126246469063,224.349203624006,9910.18226607157,0.876853075790824,0.000100528853375077,"na",0.1,1000,0,"neugammalet",4
"66",66,-2816.63468046949,"0","0.00104317069466358",0.221901690179922,507.931586458492,9910.18226607157,0.876853075790824,0.000100528853375077,"na",0.1,1000,0,"gammalet",4
"67",67,-2782.23430681335,"0.195180778478619","0",0.435828854027385,229.081646257676,9910.18226607157,0.876853075790824,0.000100528853375077,"na",0.1,1000,0,"neugamma",4
"68",68,-2816.10269054429,"na","na",0.220818061852505,517.693507187693,9910.18226607157,0.876853075790824,0.000100528853375077,"na",0.1,1000,0,"gamma",4
"69",69,-2787.18706066687,"0.191816145746375","0.0049363996356251",0.395127793513837,294.759022630983,9760.93835515646,1.02584471097037,0.197643782932917,"na",0.1,1000,0,"neugammalet",3
"70",70,-2809.18429409727,"0","0.00438614067282054",0.207467109779895,659.346286549167,9760.93835515646,1.02584471097037,0.197643782932917,"na",0.1,1000,0,"gammalet",3
"71",71,-2787.72365602454,"0.171526126298461","0",0.358632486138544,344.092464890072,9760.93835515646,1.02584471097037,0.197643782932917,"na",0.1,1000,0,"neugamma",3
"72",72,-2808.36252774948,"na","na",0.206692348400267,684.945519476969,9760.93835515646,1.02584471097037,0.197643782932917,"na",0.1,1000,0,"gamma",3
"73",73,-2773.14190057597,"0.00202625413220651","0.00296621269678247",0.215516911581064,591.010372675163,9909.03254432656,1.97813265064775,0.000100434183258664,"na",0.1,1000,0,"neugammalet",2
"74",74,-2773.07137436614,"0","0.00101670223932844",0.214095722281005,605.707136941419,9909.03254432656,1.97813265064775,0.000100434183258664,"na",0.1,1000,0,"gammalet",2
"75",75,-2768.13799099465,"0.102192895710005","0",0.286596081352734,430.212346624582,9909.03254432656,1.97813265064775,0.000100434183258664,"na",0.1,1000,0,"neugamma",2
"76",76,-2772.92999648471,"na","na",0.214230440342266,605.045286566602,9909.03254432656,1.97813265064775,0.000100434183258664,"na",0.1,1000,0,"gamma",2
"77",77,-2744.51026033932,"0.177076234446501","0.00876406642457092",0.380410766185566,287.379723602013,9753.06971637243,1.02339610627747,0.16175477908776,"na",0.1,1000,0,"neugammalet",1
"78",78,-2760.94954364144,"0","0.00100602433107219",0.211443435511964,621.263840137286,9753.06971637243,1.02339610627747,0.16175477908776,"na",0.1,1000,0,"gammalet",1
"79",79,-2743.24157719012,"0.177485397293593","0",0.37960847497286,299.217164838164,9753.06971637243,1.02339610627747,0.16175477908776,"na",0.1,1000,0,"neugamma",1
"80",80,-2760.58720809819,"na","na",0.211569699068185,622.201104323215,9753.06971637243,1.02339610627747,0.16175477908776,"na",0.1,1000,0,"gamma",1
"81",81,-382.298545925825,"0.0900408841616065","0.138773178814073",0.247050872076404,368.705568239886,9171.27182079292,1.05510038615977,1.04328932711717,"na",0.1,100,0.5,"neugammalet",10
"82",82,-382.030313508564,"0","0.0484556055154718",0.182742065050552,1063.98299468556,9171.27182079292,1.05510038615977,1.04328932711717,"na",0.1,100,0.5,"gammalet",10
"83",83,-382.353546995705,"0.022602478345191","0",0.190604664420784,1392.02290101022,9171.27182079292,1.05510038615977,1.04328932711717,"na",0.1,100,0.5,"neugamma",10
"84",84,-382.191808386079,"na","na",0.180001444140163,1525.72206436234,9171.27182079292,1.05510038615977,1.04328932711717,"na",0.1,100,0.5,"gamma",10
"85",85,-406.385371764195,"0.0451932700046286","0.0424173278928861",0.200467509559147,1027.08092904212,9710.04656221295,1.02198603556559,0.544202546192593,"na",0.1,100,0.5,"neugammalet",9
"86",86,-405.783405215921,"0","0.0247822134373423",0.176425675654216,1418.37712363081,9710.04656221295,1.02198603556559,0.544202546192593,"na",0.1,100,0.5,"gammalet",9
